executive,num_companies
http://example.org/Mr.%20Charles%20Choon%20Sik%20Park,46
http://example.org/Mr.%20Theodore%20R.%20Jaeckel%20Jr.%2C%20CFA,24
http://example.org/Mr.%20Walter%20C.%20O%27Connor%20C.F.A.%2C%20CFA,22
http://example.org/Mr.%20Bruce%20N.%20Alpert%20CPA%2C%20CPA,20
http://example.org/Mr.%20Mario%20Joseph%20Gabelli%20C.F.A.%2C%20CFA,18
http://example.org/Mr.%20Kenneth%20Donald%20Fuller,18
http://example.org/Ms.%20Natalia%20N.%20Johnson,15
http://example.org/Mr.%20Thomas%20M.%20Scrivener,15
http://example.org/Mr.%20Steven%20H.%20Lentin,15
http://example.org/Mr.%20Ryan%20C.%20Burke,15
